y=1195, x=558..562
x=522, y=879..891
x=466, y=1293..1304
y=558, x=550..556
x=543, y=1128..1141
x=574, y=1496..1500
x=533, y=1053..1064
x=434, y=1130..1144
y=1723, x=487..491
y=1000, x=512..532
y=111, x=505..524
y=997, x=520..525
x=484, y=76..87
y=325, x=415..427
x=463, y=1236..1248
x=508, y=364..377
x=490, y=1748..1759
x=477, y=876..890
y=781, x=453..464
x=557, y=941..944
y=24, x=519..531
x=432, y=930..941
x=571, y=175..185
x=462, y=668..694
x=570, y=1740..1756
x=516, y=158..172
y=1699, x=541..543
x=542, y=598..608
x=448, y=868..873
x=516, y=1527..1530
x=478, y=1785..1797
x=520, y=1567..1579
y=1548, x=418..425
x=414, y=1913..1925
x=561, y=249..251
x=557, y=1784..1794
y=1044, x=511..531
x=492, y=58..72
x=517, y=200..210
x=503, y=628..635
x=506, y=1873..1882
x=496, y=332..334
x=442, y=568..589
x=418, y=1641..1664
y=654, x=422..426
y=253, x=443..445
y=976, x=521..548
x=422, y=1418..1433
x=455, y=375..378
x=522, y=519..528
x=427, y=976..984
y=1285, x=515..540
x=471, y=1916..1923
x=503, y=1372..1382
x=482, y=1501..1507
x=439, y=192..212
y=1448, x=467..472
x=540, y=1840..1868
y=1405, x=493..495
x=558, y=768..782
x=495, y=1402..1405
x=485, y=120..127
y=476, x=450..454
y=1759, x=490..509
x=527, y=128..144
x=433, y=330..333
x=504, y=777..779
x=528, y=1659..1667
y=1601, x=427..436
x=508, y=328..337
y=955, x=463..534
x=468, y=1135..1151
x=450, y=62..65
x=462, y=1334..1347
x=496, y=201..210
y=1523, x=424..430
y=1445, x=497..499
y=826, x=517..519
x=422, y=269..287
x=491, y=1721..1723
x=486, y=280..291
y=125, x=553..557
x=477, y=1120..1121
x=518, y=273..289
x=531, y=410..422
x=480, y=816..827
x=551, y=489..509
x=501, y=724..733
x=453, y=1391..1405
x=418, y=1015..1018
x=487, y=1128..1130
x=458, y=602..607
x=513, y=777..785
y=1512, x=437..440
x=543, y=1710..1713
x=524, y=98..111
x=491, y=1461..1473
x=506, y=180..191
x=528, y=1900..1907
x=426, y=824..828
y=86, x=525..530
y=1604, x=537..542
x=475, y=922..933
