on x=-45..1,y=-25..23,z=-14..35
on x=-30..18,y=-39..14,z=-1..48
on x=-40..10,y=-45..5,z=-47..7
on x=-25..19,y=-21..32,z=-10..35
on x=-16..35,y=-39..14,z=-5..39
on x=-36..13,y=-46..-2,z=-40..12
on x=-22..27,y=-29..20,z=-2..49
on x=-37..15,y=-31..18,z=-23..23
on x=-26..18,y=-12..36,z=-1..43
on x=-14..38,y=-39..12,z=-17..32
off x=-11..2,y=-40..-31,z=1..12
on x=-25..28,y=-2..49,z=-29..21
off x=8..23,y=-2..13,z=-27..-17
on x=-47..7,y=-16..35,z=-7..45
off x=39..49,y=-38..-21,z=-7..5
on x=-44..1,y=-5..43,z=-21..25
off x=5..22,y=-31..-22,z=8..17
on x=-6..47,y=-13..33,z=-36..12
off x=-6..13,y=19..31,z=6..25
on x=-18..33,y=-43..6,z=-21..32
on x=20945..37490,y=-48632..-28197,z=-67171..-48230
on x=71419..77600,y=-22744..-293,z=14363..31802
on x=-44702..-17279,y=70158..87360,z=-19036..6105
on x=-38065..-22040,y=-68705..-60406,z=-35285..-18021
on x=63765..71800,y=-34973..-11393,z=-45557..-23568
on x=-61625..-44728,y=-39652..-23869,z=-70393..-46625
on x=-13631..14261,y=-82169..-69943,z=3373..23688
on x=69565..77803,y=11109..15148,z=-33831..-22858
on x=-56284..-22593,y=36691..50732,z=47039..50098
on x=64552..67483,y=-53093..-20045,z=-36145..-18641
on x=-6053..8047,y=-24144..-11458,z=-77211..-63872
on x=61197..86070,y=6678..24351,z=-15664..-5230
on x=-85663..-62651,y=30647..62481,z=-13236..5486
on x=-35926..-9741,y=-51135..-22619,z=-81780..-53722
on x=-2337..9629,y=-27527..-11196,z=-92190..-64941
on x=-35593..-27483,y=-57957..-38585,z=-73560..-36213
on x=30841..60293,y=-64308..-50318,z=-25973..-599
on x=-62326..-39613,y=-71950..-51587,z=-6193..378
on x=-30695..-9325,y=73673..94063,z=-17322..16949
on x=-11531..9440,y=-18105..-3282,z=73722..80709
on x=28510..57645,y=42624..55911,z=-57016..-43172
on x=54794..75205,y=-34726..-13146,z=-41271..-33051
on x=-66354..-46626,y=37076..53728,z=-26690..-16251
on x=53693..74279,y=-64257..-25693,z=-31013..-13928
on x=24718..29596,y=-50435..-26038,z=-68806..-49962
on x=-78803..-58702,y=3305..14444,z=22053..47523
on x=33005..35082,y=-21045..784,z=68523..82829
on x=-44759..-23527,y=-51455..-13134,z=-74307..-55312
on x=38982..55976,y=-68398..-53906,z=20077..43232
on x=919..18546,y=3504..28547,z=-92588..-63079
on x=60549..78461,y=8982..32805,z=-32605..-21465
on x=42924..53244,y=-75269..-46796,z=32247..37760
on x=-68179..-46114,y=-57985..-38992,z=-3374..11906
on x=59390..87062,y=-29059..-20038,z=14024..34894
on x=41936..67582,y=-71765..-48795,z=-17707..2033
on x=20827..56079,y=-44802..-9771,z=58446..77259
on x=57195..93919,y=1305..25152,z=-34566..-13134
on x=-32671..-22898,y=60748..90666,z=-23383..-13785
on x=669..23079,y=28410..37500,z=-91849..-67213
on x=29826..53150,y=49231..60460,z=35595..53892
on x=-80516..-51010,y=-11948..509,z=-57533..-25261
on x=-16810..18046,y=-40054..-30140,z=53826..78337
on x=-30727..-19331,y=-45538..-12018,z=-72971..-61087
on x=-7712..3601,y=-88880..-66644,z=296..6668
on x=-10553..7841,y=-15605..2447,z=78368..81863
on x=-48263..-12697,y=-21168..-2718,z=-86088..-53962
on x=-82812..-57188,y=-11012..6919,z=-40512..-31439
on x=500..9097,y=-22526..-148,z=71214..85371
on x=-47668..-31834,y=65268..67654,z=4398..34171
on x=21817..57749,y=-62296..-54913,z=-29644..-25587
on x=17101..46142,y=46983..63341,z=-69525..-39512
on x=-69090..-57835,y=-31476..-10588,z=29401..56099
on x=-36656..-16395,y=-64682..-46179,z=-53007..-37586
on x=-55951..-31436,y=-44140..-39802,z=-65142..-51654
on x=-15876..-2500,y=8346..23346,z=62123..85753
on x=-8152..19669,y=70866..90128,z=-8194..18625
on x=39113..53393,y=48337..69049,z=25675..41617
on x=32979..41363,y=-68129..-40221,z=-61466..-39046
on x=-23474..8535,y=-60652..-34629,z=-77763..-51702
on x=-58044..-20955,y=-62404..-43670,z=-51658..-33370
on x=-23837..-14479,y=-81694..-63358,z=39588..56183
on x=-89899..-60896,y=2727..25947,z=-7898..8482
on x=-60192..-48518,y=2512..20160,z=38210..56648
on x=-61874..-44580,y=-59227..-40958,z=12423..40738
on x=32446..50036,y=45277..81152,z=16464..40088
on x=-28476..-7871,y=-31489..-14605,z=54469..83391
on x=-8519..10107,y=12031..30871,z=67241..94918
on x=13992..40741,y=48664..71638,z=34196..43948
on x=-9625..616,y=38295..57222,z=51422..61851
on x=-47378..-18864,y=-37825..-24137,z=58608..74690
on x=-17400..6605,y=-88568..-68092,z=-27837..-15280
on x=-36598..-19073,y=13856..17074,z=68112..89257
on x=53586..75887,y=-31856..-7711,z=-72488..-35400
on x=12644..43783,y=33486..46661,z=-72658..-54042
on x=-84750..-60591,y=-27279..3934,z=33354..46066
on x=-13073..5947,y=-6367..17014,z=63080..90961
on x=-5916..18969,y=34694..51328,z=-73827..-48008
on x=-52192..-49688,y=-13401..-6625,z=-73898..-58890
on x=-50286..-31887,y=-8344..1098,z=-73980..-70681
on x=5122..19886,y=55681..78482,z=-53895..-32919
on x=68127..91386,y=-1319..9774,z=-40455..-32150
on x=-28263..-11978,y=-73121..-57904,z=5012..27462
on x=-29729..-6448,y=-90955..-61407,z=14195..26776
on x=36479..66376,y=-57151..-32091,z=-50230..-14652
on x=58275..80498,y=945..20341,z=32790..61742
on x=-83596..-70361,y=-44348..-17463,z=-21359..-13364
on x=-7625..16311,y=-68039..-42310,z=49643..74443
on x=-16664..14635,y=-87996..-48726,z=32516..61912
on x=-54103..-36015,y=42571..66086,z=-32417..-9920
on x=45846..73902,y=47060..63329,z=14862..22746
on x=-76654..-55035,y=-45955..-37009,z=-12806..-6160
on x=-55899..-37408,y=-65952..-34477,z=42673..61717
on x=56157..73403,y=21843..35425,z=36881..61054
on x=-7016..12925,y=-28619..-6059,z=61314..78557
on x=21210..39516,y=-1536..19103,z=66029..83566
on x=-6956..19730,y=17376..43257,z=55474..72093
on x=-79364..-57754,y=-46974..-35477,z=-20307..-4398
on x=-90447..-67179,y=-39444..-9726,z=20348..28705
on x=-15757..2167,y=50103..72339,z=46264..71838
on x=-55169..-33065,y=-22293..-4797,z=53628..78825
on x=35838..56589,y=56652..77029,z=-32487..-6995
on x=-55055..-33694,y=53974..80088,z=-16827..982
on x=-20155..4156,y=61115..80080,z=-7961..18252
on x=59223..67168,y=-44233..-29649,z=-38421..-4877
on x=62491..73105,y=-2588..16654,z=31149..52104
on x=11953..32952,y=66517..91344,z=11294..35196
on x=-35759..-19746,y=-34986..-15035,z=-90188..-64360
on x=39790..62424,y=-63043..-31208,z=22315..32373
on x=-78996..-60071,y=-7907..14935,z=-61257..-43116
on x=22339..51450,y=-57682..-32968,z=-63436..-31191
on x=-58384..-41059,y=-65969..-32372,z=-46728..-17259
on x=39125..49523,y=-54841..-40483,z=-51424..-36081
on x=29520..47398,y=50640..78178,z=-26059..-22668
on x=-65784..-34594,y=-67423..-35780,z=-49702..-18486
on x=65844..92590,y=-13903..4767,z=-36550..-23630
on x=-52512..-30571,y=-30341..-19452,z=56395..71874
on x=-21705..898,y=-38787..-16485,z=66186..75879
on x=2551..13765,y=65809..86308,z=29716..46009
on x=-65614..-43816,y=53348..63320,z=-5052..13309
on x=47423..56271,y=38493..77500,z=-27339..-14400
on x=-80182..-43047,y=-42189..-37009,z=-39527..-31560
on x=43995..57082,y=-66079..-49033,z=-46335..-22763
on x=-59627..-39370,y=57377..58076,z=18158..33569
on x=50727..58491,y=2271..22746,z=-74014..-36593
on x=48896..75845,y=16223..41313,z=38887..50400
on x=-28504..-23732,y=-90784..-69719,z=15933..29161
on x=-31960..6664,y=48933..68230,z=-72977..-47891
on x=53900..71731,y=-63619..-38122,z=10413..46806
on x=-19672..-2077,y=-8975..1170,z=-97168..-61772
on x=-13564..9192,y=63101..92554,z=7476..8464
on x=-89004..-61564,y=-23174..-467,z=-17140..-7994
on x=44235..73315,y=-39962..-10080,z=-66656..-43076
on x=-78419..-57509,y=33181..52532,z=-34362..-4187
on x=37623..57322,y=-34382..-14393,z=56816..76461
on x=-89780..-67550,y=-37935..-14039,z=4332..26678
on x=30843..53536,y=55060..76003,z=-23945..3714
on x=16350..24067,y=-79332..-57223,z=-33154..-4358
on x=-12786..-466,y=18285..33454,z=58566..88618
on x=-66549..-53970,y=-66965..-51066,z=-7489..23082
on x=-89498..-66783,y=-5083..29108,z=-2113..18162
on x=-43098..-36488,y=-22214..-729,z=-83402..-54386
on x=-41257..-29176,y=-57118..-30011,z=40714..61116
on x=27799..54650,y=-3304..7420,z=62450..74231
on x=-46216..-26081,y=2923..24282,z=-65987..-63494
on x=25846..36272,y=45486..69201,z=-58624..-29343
on x=-19478..-2205,y=-13238..9555,z=60139..95207
on x=33097..67631,y=-27663..-13594,z=50650..72011
on x=34243..42360,y=-60148..-32809,z=-63961..-33194
on x=-4603..24090,y=-69231..-36190,z=-59837..-40784
on x=-35305..-8580,y=45315..54552,z=56193..69806
on x=-79318..-54892,y=36081..51506,z=-32224..-9386
on x=50083..78984,y=-2995..16341,z=-53861..-30648
on x=16704..24183,y=65726..77929,z=2245..25331
on x=-62571..-47153,y=26516..46080,z=33301..50391
on x=70105..89967,y=-9665..3801,z=27723..49057
on x=34485..47945,y=-46196..-21261,z=-64711..-41867
on x=49328..63942,y=-63737..-56173,z=-5358..15183
on x=27743..39056,y=56715..76686,z=20937..46628
on x=-4387..26574,y=40266..57305,z=-77248..-55160
on x=45829..76645,y=-27175..-5284,z=33533..55720
on x=-97755..-64159,y=-14420..6557,z=-28324..-10764
on x=-27220..-12541,y=71801..87972,z=2822..7108
on x=-30818..-7301,y=-85064..-63328,z=33576..46665
on x=75730..87444,y=-26285..-8861,z=-15315..-9266
on x=29194..52084,y=-73664..-47268,z=14463..48945
on x=-44918..-26274,y=1877..22861,z=64475..81410
on x=-48104..-24172,y=-21216..550,z=66602..78210
on x=55609..76877,y=14743..33294,z=34105..47504
on x=-12991..8722,y=15002..46728,z=-88138..-60537
on x=-3114..28333,y=-24076..-1673,z=68220..80472
on x=44120..65987,y=-31184..-13876,z=45649..61061
on x=-16798..9054,y=66835..79639,z=19357..38719
on x=15629..39321,y=-39422..-12707,z=52014..76099
on x=48953..69754,y=-53521..-21796,z=-32378..3497
on x=33343..62189,y=-3978..13390,z=50595..68494
on x=-8188..21673,y=70681..89779,z=14937..30388
on x=-36092..-19673,y=-1925..13966,z=-85430..-53197
on x=44446..63622,y=-56639..-43893,z=-50522..-36248
on x=-47252..-13169,y=8858..27077,z=71313..78824
on x=53539..78661,y=37667..47354,z=-40046..-10726
on x=11053..38743,y=53791..90827,z=14292..19970
on x=-81640..-69761,y=-20263..-9828,z=-24946..416
on x=-87209..-70463,y=-43310..-26177,z=-11965..-806
on x=32006..63592,y=-66623..-44967,z=19207..43525
on x=24227..63344,y=-8519..-2522,z=65048..85801
on x=-5845..20004,y=-76424..-55077,z=28465..49518
on x=-23540..-8873,y=-29053..-7445,z=-93395..-70964
on x=-22873..-12522,y=-79867..-59750,z=-12290..4913
on x=-86708..-60862,y=-3162..1594,z=34786..45058
on x=-58933..-37769,y=-16069..7667,z=44506..61220
on x=9474..20144,y=-82825..-48642,z=-59635..-26126
on x=36698..43971,y=5234..15864,z=68606..84551
on x=25637..48478,y=41031..58748,z=41380..70287
on x=11427..34486,y=13300..41305,z=64417..75585
on x=58826..93372,y=-31259..1484,z=-31983..-20400
on x=30288..40004,y=44189..66924,z=-65663..-29294
on x=-41356..-22594,y=-64816..-53063,z=-60511..-45249
on x=-70025..-53171,y=-63995..-35849,z=-10094..5304
on x=23085..46040,y=-14087..11839,z=-83278..-64519
on x=44488..78366,y=2871..27173,z=40798..59310
off x=22311..57943,y=43488..65178,z=8153..33986
on x=-6271..5040,y=61736..86668,z=13978..45050
off x=-52915..-28509,y=-38725..-20965,z=-70016..-50612
on x=-46447..-13657,y=-75840..-60420,z=-39305..-23734
on x=-34604..-9211,y=-87561..-59830,z=-36836..1804
off x=-4183..4655,y=-76176..-55154,z=29111..44167
off x=33285..55605,y=25133..31740,z=57276..70736
off x=71114..94973,y=-35882..1116,z=8253..32162
on x=-80327..-69876,y=-4869..18971,z=-45342..-21183
off x=-54129..-39502,y=57965..71903,z=22203..32546
on x=18196..36520,y=-78447..-76717,z=-8606..6694
off x=-37047..-23409,y=53953..86313,z=547..25294
off x=-68040..-60315,y=-2471..15246,z=-58494..-27735
on x=30882..36576,y=56038..72358,z=-21292..-13583
on x=-47620..-27436,y=-74744..-56777,z=-48083..-25985
off x=-78883..-52512,y=18090..25867,z=40060..50680
off x=-69941..-48841,y=28345..49720,z=-36655..-10805
on x=-18071..1079,y=26730..42065,z=-83531..-67215
on x=-91736..-61676,y=-25929..9997,z=-39246..-17984
off x=-75709..-61641,y=37773..54326,z=9651..33521
on x=62420..71291,y=17103..43621,z=-30317..-21026
off x=25011..46652,y=-71650..-46774,z=-50993..-36914
on x=1956..18056,y=57821..78551,z=-62775..-41039
on x=-42194..-21260,y=15208..42287,z=61567..77167
on x=-6757..32220,y=-60769..-46234,z=-76673..-54661
off x=39638..67968,y=-16069..13497,z=-75922..-42340
on x=56601..70496,y=13848..25084,z=25543..63467
off x=-72117..-42874,y=-8800..15624,z=-56927..-52328
on x=47502..76386,y=34216..51247,z=25562..52899
on x=-39378..-32624,y=-88822..-70333,z=-25325..5988
off x=67356..88751,y=-32061..-9439,z=5079..24585
on x=-56025..-38109,y=-66559..-58999,z=-28628..-13479
on x=-83249..-63831,y=-20387..1077,z=3427..15304
off x=32717..47901,y=-54725..-45008,z=35436..69806
on x=1299..13705,y=4224..39004,z=-80220..-58987
off x=-12611..5156,y=-14943..2568,z=77809..95365
on x=57103..68606,y=-26105..-1552,z=35353..68216
off x=-68514..-38393,y=-40940..-4440,z=-56017..-45694
off x=-66729..-40243,y=19879..39968,z=53424..73280
on x=-29093..-15955,y=466..27508,z=69016..86086
off x=-329..15423,y=-16247..9972,z=60411..87178
off x=-42169..-19535,y=-10437..14868,z=67780..79157
on x=-24264..-1506,y=71457..75784,z=17572..35372
on x=11909..30299,y=-74323..-36205,z=48824..54161
on x=45499..64279,y=-51011..-20153,z=44094..62174
on x=-31168..-19020,y=46092..56952,z=-56117..-38016
on x=52649..77647,y=-51680..-39781,z=-26441..273
on x=10643..14764,y=49102..59161,z=46809..75418
on x=-57575..-37565,y=43843..77635,z=-22521..-1263
off x=27101..59535,y=-36192..-12169,z=-76573..-40556
off x=-51130..-25659,y=-64446..-38991,z=-57846..-31064
off x=-5717..10808,y=-15433..-4773,z=72657..82815
on x=-12643..11516,y=-10534..20440,z=-85179..-73229
off x=36072..52145,y=62432..76687,z=-10807..3053
on x=33211..51338,y=-78519..-55147,z=-15170..8362
off x=28578..42288,y=45754..75324,z=-42689..-25875
off x=-17463..20742,y=-75385..-63289,z=-48090..-19748
off x=-5435..19681,y=-81350..-77354,z=-28..1724
off x=-91701..-58137,y=-30844..-24584,z=-25923..-3145
off x=-61484..-27973,y=45052..68042,z=-43190..-10531
off x=-3625..6220,y=20512..38321,z=66183..85027
on x=-70801..-52672,y=-55480..-34303,z=7088..26838
on x=41388..46465,y=-34293..-7487,z=-64547..-45028
off x=71687..86102,y=26282..45152,z=-22201..-6541
off x=-7472..16062,y=-51641..-32625,z=-71702..-53643
off x=-37998..-27622,y=-82030..-66284,z=-10960..-2128
